Symbol,Company,Sector,Industry,Current_Price,ATH_Price_Flag,TTM_Net_Profit,ATH_Profit_Flag,Above_MA212_Flag,RS_vs_Sector,RS_vs_Benchmark,Outperformance_Flag,ATH_Sales,ATH_Sales_Flag,Signal
MKPL,M. K. Proteins Limited,Consumer Defensive,Packaged Foods,4.210000038146973,False,6.83,False,False,-37.47,-41.08,False,,False,EXIT
IVP,IVP Limited,Basic Materials,Specialty Chemicals,168.7100067138672,False,18.68,False,True,-7.26,-6.87,False,,False,EXIT
NECCLTD,North Eastern Carrying Corporation Limited,Industrials,Trucking,15.229999542236328,False,7.750000000000001,True,False,-39.04,-37.98,False,572.0,False,EXIT
SADBHAV,Sadbhav Engineering Limited,Industrials,Engineering & Construction,8.9399995803833,False,171.57,False,False,-30.91,-29.86,False,5240.0,False,EXIT
INCREDIBLE,Incredible Industries Limited,Basic Materials,Steel,32.5099983215332,False,11.52,False,False,-20.98,-20.55,False,,False,EXIT
RPPL,Rajshree Polypack Limited,Consumer Cyclical,Packaging & Containers,25.809999465942383,False,17.259999999999998,True,True,-9.95,-1.94,False,330.0,True,HOLD
SIGIND,Signet Industries Limited,Industrials,Conglomerates,67.79000091552734,False,16.17,False,True,13.84,14.78,True,,False,HOLD
LAGNAM,Lagnam Spintex Limited,Consumer Cyclical,Textile Manufacturing,83.33999633789062,False,14.39,False,True,-24.81,-16.77,False,,False,EXIT
DEVIT,Dev Information Technology Limited,Technology,Information Technology Services,26.90999984741211,False,90.32,True,False,-43.6,-42.66,False,171.0,True,EXIT
BAIDFIN,Baid Finserv Limited,Financial Services,Credit Services,10.029999732971191,False,14.98,False,False,-20.61,-19.2,False,,False,EXIT
VIKASECO,Vikas Ecotech Limited,Basic Materials,Specialty Chemicals,1.1100000143051147,False,6.58,False,False,-53.86,-53.33,False,397.0,False,EXIT
KAMOPAINTS,Kamdhenu Ventures Limited,Basic Materials,Steel,4.590000152587891,False,5.54,False,False,-55.02,-54.49,False,292.0,False,EXIT
MHLXMIRU,Mahalaxmi Rubtech Limited,Consumer Cyclical,Textile Manufacturing,151.19000244140625,False,21.79,True,False,-42.07,-33.98,False,267.0,True,EXIT
FILATFASH,Filatex Fashions Limited,Consumer Cyclical,Apparel Manufacturing,0.18000000715255737,False,2.83,False,False,-81.64,-73.45,False,186.0,True,EXIT
NATCAPSUQ,Natural Capsules Limited,Healthcare,Drug Manufacturers - Specialty & Generic,155.0399932861328,False,24.67,True,False,-43.34,-32.85,False,170.0,False,EXIT
