Symbol,Live_Price,Price_As_Of
BLIL,71.0,2026-08-10T06:06:12+00:00
BLISSGVS,494.3500061035156,2026-08-10T06:06:12+00:00
BLKASHYAP,54.79999923706055,2026-08-10T06:06:12+00:00
BLS,260.70001220703125,2026-08-10T06:06:12+00:00
BLSE,308.54998779296875,2026-08-10T06:06:12+00:00
BLUECHIP,1.690000057220459,2026-08-10T06:06:12+00:00
BLUECOAST,24.1299991607666,2026-08-10T06:06:12+00:00
BLUEDART,5147.0,2026-08-10T06:06:12+00:00
BLUEJET,591.4000244140625,2026-08-10T06:06:12+00:00
BLUESTARCO,1500.9000244140625,2026-08-10T06:06:12+00:00
BLUESTONE,836.75,2026-08-10T06:06:12+00:00
BLUSPRING,112.02999877929688,2026-08-10T06:06:12+00:00
BMWVENTLTD,59.349998474121094,2026-08-10T06:06:12+00:00
BNAGROCHEM,269.0,2026-08-10T06:06:12+00:00
BNALTD,408.29998779296875,2026-08-10T06:06:12+00:00
BODALCHEM,69.29000091552734,2026-08-10T06:06:12+00:00
BOHRAIND,14.5,2026-08-10T06:06:12+00:00
BOMDYEING,120.19999694824219,2026-08-10T06:06:12+00:00
BONLON,41.0,2026-08-10T06:06:12+00:00
BORANA,341.1499938964844,2026-08-10T06:06:12+00:00
BOROLTD,244.38999938964844,2026-08-10T06:06:12+00:00
BORORENEW,563.1500244140625,2026-08-10T06:06:12+00:00
BOROSCI,138.5,2026-08-10T06:06:12+00:00
BOSCH-HCIL,1714.0999755859375,2026-08-10T06:06:12+00:00
BOSCHLTD,42865.0,2026-08-10T06:06:12+00:00
BPCL,319.6000061035156,2026-08-10T06:06:12+00:00
BPL,53.709999084472656,2026-08-10T06:06:12+00:00
BRIGADE,608.0999755859375,2026-08-10T06:06:12+00:00
BRIGHOTEL,60.02000045776367,2026-08-10T06:06:12+00:00
BRITANNIA,5561.0,2026-08-10T06:06:12+00:00
BRNL,17.760000228881836,2026-08-10T06:06:12+00:00
BROOKS,60.0,2026-08-10T06:06:12+00:00
BSE,3548.300048828125,2026-08-10T06:06:12+00:00
BSHSL,91.80000305175781,2026-08-10T06:06:12+00:00
BSL,124.48999786376953,2026-08-10T06:06:12+00:00
BSOFT,322.04998779296875,2026-08-10T06:06:12+00:00
BTML,8.010000228881836,2026-08-10T06:06:12+00:00
BTTL,42.70000076293945,2026-08-10T06:06:12+00:00
BUILDPRO,1309.9000244140625,2026-08-10T06:06:12+00:00
BUTTERFLY,684.4500122070312,2026-08-10T06:06:12+00:00
BVCL,42.04999923706055,2026-08-10T06:06:12+00:00
BYKE,33.689998626708984,2026-08-10T06:06:12+00:00
CALSOFT,21.989999771118164,2026-08-10T06:06:12+00:00
CAMLINFINE,127.62000274658203,2026-08-10T06:06:12+00:00
CAMPUS,222.8000030517578,2026-08-10T06:06:12+00:00
CAMS,794.0999755859375,2026-08-10T06:06:12+00:00
CANBK,130.77999877929688,2026-08-10T06:06:12+00:00
CANFINHOME,826.2999877929688,2026-08-10T06:06:12+00:00
CANHLIFE,152.07000732421875,2026-08-10T06:06:12+00:00
CANTABIL,230.69000244140625,2026-08-10T06:06:12+00:00
CAPACITE,208.61000061035156,2026-08-10T06:06:12+00:00
CAPILLARY,561.9500122070312,2026-08-10T06:06:12+00:00
CAPITALSFB,298.1000061035156,2026-08-10T06:06:12+00:00
CAPLIPOINT,2630.0,2026-08-10T06:06:12+00:00
CAPTRUST,20.309999465942383,2026-08-10T06:06:12+00:00
CARBORUNIV,1115.9000244140625,2026-08-10T06:06:12+00:00
CARERATING,1726.0,2026-08-10T06:06:12+00:00
CARRARO,499.0,2026-08-10T06:06:12+00:00
CARTRADE,2787.39990234375,2026-08-10T06:06:12+00:00
CARYSIL,1209.800048828125,2026-08-10T06:06:12+00:00
CASTROLIND,192.97000122070312,2026-08-10T06:06:12+00:00
CCAVENUE,17.350000381469727,2026-08-10T06:06:12+00:00
CCCL,15.420000076293945,2026-08-10T06:06:12+00:00
CCHHL,12.600000381469727,2026-08-10T06:06:12+00:00
CCL,1133.9000244140625,2026-08-10T06:06:12+00:00
CDSL,1334.0999755859375,2026-08-10T06:06:12+00:00
CEATLTD,3739.800048828125,2026-08-10T06:06:12+00:00
CEIGALL,322.0,2026-08-10T06:06:12+00:00
CEINSYS,842.1500244140625,2026-08-10T06:06:12+00:00
CELEBRITY,7.050000190734863,2026-08-10T06:06:12+00:00
CELLO,361.54998779296875,2026-08-10T06:06:12+00:00
CEMPRO,1181.9000244140625,2026-08-10T06:06:12+00:00
CENTENKA,607.25,2026-08-10T06:06:12+00:00
CENTEXT,23.18000030517578,2026-08-10T06:06:12+00:00
CENTRALBK,31.25,2026-08-10T06:06:12+00:00
CENTRUM,25.649999618530273,2026-08-10T06:06:12+00:00
CENTUM,3862.60009765625,2026-08-10T06:06:12+00:00
CENTURYPLY,783.5999755859375,2026-08-10T06:06:12+00:00
CERA,6038.5,2026-08-10T06:06:12+00:00
CEREBRAINT,2.7699999809265137,2026-08-10T06:06:12+00:00
