Symbol,Company,Sector,Industry,Current_Price,ATH_Price_Flag,TTM_Net_Profit,ATH_Profit_Flag,Above_MA212_Flag,RS_Peer_Group,RS_vs_Sector,RS_vs_Benchmark,Outperformance_Flag,TTM_Net_Sales,ATH_Sales,ATH_Sales_Flag,Signal
LAURUSLABS,Laurus Labs Limited,Healthcare,Drug Manufacturers - Specialty & Generic,1814.0,True,872.0,False,True,NIFTY PHARMA,86.61,102.42,True,6413.0,6089.0,True,HOLD
GODREJCP,Godrej Consumer Products Limited,Consumer Defensive,Household & Personal Products,931.0,False,1524.0,False,False,NIFTY FMCG,-18.22,-27.37,False,9773.0,9474.0,True,EXIT
NYKAA,FSN E-Commerce Ventures Limited,Consumer Cyclical,Internet Retail,320.6000061035156,False,85.0,False,True,Sector: Consumer Cyclical,34.62,42.76,True,350.0,420.0,False,HOLD
AUROPHARMA,Aurobindo Pharma Limited,Healthcare,Drug Manufacturers - Specialty & Generic,1645.0,True,2593.0,False,True,NIFTY PHARMA,30.79,49.54,True,11123.0,15824.0,False,HOLD
SHREECEM,Shree Cement Limited,Basic Materials,Building Materials,24725.0,False,1526.0,False,False,Sector: Basic Materials,-26.7,-22.53,False,19985.0,19477.0,True,EXIT
IDBI,IDBI Bank Limited,Financial Services,Banks - Regional,81.11000061035156,False,9621.0,True,False,Sector: Financial Services,-20.63,-17.2,False,29518.0,28997.0,True,EXIT
MEESHO,MEESHO,Consumer Cyclical,Internet Retail,192.9499969482422,False,1429.0,False,False,Sector: Consumer Cyclical,,,False,6442.0,9388.0,False,EXIT
RECLTD,REC Limited,Financial Services,Credit Services,338.5,False,15981.0,False,False,Sector: Financial Services,-15.89,-12.49,False,58710.0,59142.0,False,EXIT
PERSISTENT,Persistent Systems Limited,Technology,Information Technology Services,5442.5,False,1669.0,True,False,NIFTY IT,11.18,2.32,True,15288.0,14428.0,True,HOLD
NAUKRI,Info Edge (India) Limited,Communication Services,Internet Content & Information,1354.9000244140625,False,5522.0,False,True,Sector: Communication Services,7.72,-5.46,False,3140.0,3052.0,True,EXIT
FEDERALBNK,The Federal Bank Limited,Financial Services,Banks - Regional,357.79998779296875,True,4432.0,True,True,NIFTY BANK,65.03,77.43,True,28247.0,27695.0,True,ADD
DIXON,Dixon Technologies (India) Limited,Technology,Consumer Electronics,14150.0,False,1242.0,True,True,Sector: Technology,-27.05,-17.72,False,4119.0,7484.0,False,HOLD
HAVELLS,Havells India Limited,Industrials,Electrical Equipment & Parts,1299.699951171875,False,1652.0,False,False,Sector: Industrials,-28.61,-18.64,False,23538.0,22466.0,True,EXIT
ICICIGI,ICICI Lombard General Insurance Company Limited,Financial Services,Insurance - Diversified,1623.800048828125,False,2428.0,False,False,Sector: Financial Services,-22.25,-18.81,False,27687.0,26994.0,True,EXIT
BHARTIHEXA,BHARTIHEXA,Communication Services,Telecom Services,1600.4000244140625,False,1824.0,True,False,Sector: Communication Services,-0.19,-13.18,False,9601.0,9354.0,True,EXIT
AUBANK,AU Small Finance Bank Limited,Financial Services,Banks - Regional,1075.699951171875,True,2856.0,True,True,NIFTY BANK,24.53,39.83,True,19561.0,18636.0,True,ADD
POLICYBZR,PB Fintech Limited,Financial Services,Insurance Brokers,1747.0,False,442.0,True,True,Sector: Financial Services,-13.91,-10.52,False,566.0,208.0,True,HOLD
COFORGE,Coforge Limited,Technology,Information Technology Services,1773.0,False,1208.0,False,True,NIFTY IT,10.73,1.91,True,10205.0,9572.0,True,HOLD
INDUSINDBK,IndusInd Bank Limited,Financial Services,Banks - Regional,1015.0,False,1252.0,False,True,NIFTY BANK,11.01,27.28,True,45297.0,48668.0,False,HOLD
HINDPETRO,Hindustan Petroleum Corporation Limited,Energy,Oil & Gas Refining & Marketing,366.0,False,1278.0,False,False,NIFTY ENERGY,-17.75,-7.64,False,471166.0,441448.0,True,EXIT
JSWINFRA,JSW Infrastructure Limited,Industrials,Marine Shipping,328.6499938964844,False,170.0,False,True,Sector: Industrials,-4.03,5.85,False,624.0,601.0,True,EXIT
NTPCGREEN,NTPCGREEN,Utilities,Utilities - Renewable,92.16999816894531,False,394.0,False,False,NIFTY ENERGY,-24.06,-13.79,False,1977.0,2023.0,False,EXIT
NHPC,NHPC Limited,Utilities,Utilities - Renewable,76.7300033569336,False,3659.0,False,False,NIFTY ENERGY,-18.86,-8.73,False,10888.0,10328.0,True,EXIT
