Symbol,Company,Sector,Industry,Current_Price,ATH_Price_Flag,TTM_Net_Profit,ATH_Profit_Flag,Above_MA212_Flag,RS_vs_Sector,RS_vs_Benchmark,Outperformance_Flag,TTM_Net_Sales,ATH_Sales,ATH_Sales_Flag,Signal
GOPAL,Gopal Snacks Limited,Consumer Defensive,Packaged Foods,276.6499938964844,False,84.0,False,False,-24.98,-28.74,False,1608.0,1508.0,True,EXIT
PREMEXPLN,Premier Explosives Limited,Basic Materials,Specialty Chemicals,657.0499877929688,False,34.0,False,True,23.93,24.22,True,349.0,417.0,False,HOLD
UNICHEMLAB,Unichem Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic,540.2000122070312,False,166.0,False,True,-8.28,3.31,False,1394.0,1736.0,False,EXIT
SAMBHV,SAMBHV,Basic Materials,Steel,117.11000061035156,False,166.0,True,True,-6.88,-6.5,False,2587.0,2413.0,True,HOLD
UEL,Ujaas Energy Limited,Technology,Solar,246.5,False,3.93,False,True,98.89,97.66,True,17.02,486.35,False,HOLD
WHEELS,Wheels India Limited,Consumer Cyclical,Auto Parts,1435.5999755859375,False,149.0,True,True,89.94,95.9,True,5296.0,5098.0,True,HOLD
CARYSIL,Carysil Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances",1207.300048828125,True,67.0,True,True,41.61,47.69,True,517.0,505.0,True,ADD
MAYURUNIQ,Mayur Uniquoters Limited,Consumer Cyclical,Textile Manufacturing,755.4500122070312,False,221.0,True,True,33.52,39.62,True,982.0,942.0,True,HOLD
HERITGFOOD,Heritage Foods Limited,Consumer Defensive,Packaged Foods,360.70001220703125,False,127.0,False,False,-23.08,-26.85,False,4588.0,4415.0,True,EXIT
STEELCAS,Steelcast Limited,Basic Materials,Steel,354.1499938964844,True,91.0,True,True,66.88,67.05,True,441.0,477.0,False,ADD
NIITMTS,NIIT Learning Systems Limited,Consumer Defensive,Education & Training Services,242.6300048828125,False,113.0,False,False,-26.08,-29.83,False,539.0,532.0,True,EXIT
ROUTE,Route Mobile Limited,Communication Services,Telecom Services,514.5999755859375,False,121.0,False,False,-27.77,-45.84,False,785.0,832.0,False,EXIT
VENUSPIPES,Venus Pipes and Tubes Limited,Basic Materials,Steel,1579.800048828125,False,104.0,True,True,13.88,14.2,True,1211.0,1167.0,True,HOLD
ASHOKA,Ashoka Buildcon Limited,Industrials,Engineering & Construction,112.38999938964844,False,321.0,False,False,-42.24,-40.73,False,5789.0,7727.0,False,EXIT
