Symbol,TTM_Net_Profit,Max_Annual_Net_Profit,TTM_Net_Sales,Max_Annual_Net_Sales
BHARATSE,46.0,42.0,2102.0,1951.0
BHARATWIRE,69.0,96.0,579.0,622.0
BHARTIARTL,36413.0,37481.0,220049.0,210973.0
BHARTIHEXA,1824.0,1733.0,9601.0,9354.0
BHEL,2432.0,1600.0,35993.0,33782.0
BI,-6.0,50.0,773.0,2997.0
BIGBLOC,-4.0,31.0,306.0,283.0
BIKAJI,255.0,263.0,3075.0,2994.0
BIL,26.0,63.0,1451.0,1358.0
BILVYAPAR,0.42,19.13,0.0,260.6
BIMETAL,11.0,12.0,305.0,297.0
BIOCON,416.0,1429.0,17321.0,16927.0
BIOFILCHEM,0.48,2.79,34.32,40.04
BIRLACABLE,46.0,33.0,861.0,792.0
BIRLACORPN,554.0,630.0,9848.0,9656.0
BIRLAMONEY,10.0,22.0,172.0,164.0
BIRLANU,-109.0,260.0,3852.0,3730.0
BIRLAPREC,14.0,14.0,248.0,253.0
BLACKBUCK,169.0,160.0,713.0,867.0
BLACKROSE,29.0,32.0,352.0,488.0
BLAL,2.29,0.01,1.96,0.98
BLBLIMITED,27.0,33.0,781.0,746.0
BLIL,281.0,278.0,2795.0,2728.0
BLISSGVS,142.0,135.0,1005.0,927.0
BLKASHYAP,1.0,53.0,1388.0,1379.0
BLS,744.0,724.0,3178.0,2998.0
BLSE,70.0,69.0,1178.0,1118.0
BLUECHIP,-0.39,0.69,0.18,7.33
BLUECOAST,-1.07,80.0,2.25,134.89
BLUEDART,287.0,382.0,6357.0,6141.0
BLUEJET,235.0,305.0,886.0,1030.0
BLUESTARCO,509.0,591.0,12798.0,12402.0
BLUESTONE,54.0,13.0,2681.0,2436.0
BLUSPRING,-17.0,-23.0,3534.0,3484.0
BMWVENTLTD,40.0,37.0,2403.0,2278.0
BNAGROCHEM,17.0,34.0,927.0,873.0
BNALTD,3.0,27.0,299.0,292.0
BODALCHEM,69.0,141.0,2267.0,2055.0
BOHRAIND,-2.84,7.41,0.0,113.28
BOMDYEING,20.0,2949.0,1493.0,4430.0
BONLON,1.0,12.0,582.0,651.0
BORANA,69.0,65.0,408.0,389.0
BOROLTD,70.0,85.0,1217.0,1196.0
BORORENEW,418.0,137.0,1615.0,1556.0
BOROSCI,43.0,35.0,478.0,467.0
BOSCH-HCIL,5.0,100.0,2942.0,2756.0
BOSCHLTD,2363.0,2773.0,21088.0,20035.0
BPCL,17132.0,26859.0,493954.0,473187.0
BPL,-15.0,76.0,80.0,105.0
BRIGADE,784.0,725.0,5532.0,5697.0
BRIGHOTEL,75.0,65.0,528.0,525.0
BRITANNIA,2610.0,2537.0,19529.0,19152.0
BRNL,-150.0,29.0,6.0,91.0
BROOKS,13.0,25.0,83.0,91.0
BSE,2822.0,2487.0,5442.0,5124.0
BSHSL,29.0,27.0,374.0,358.0
BSL,4.0,17.0,669.0,667.0
BSOFT,573.0,624.0,5404.0,5375.0
BTML,8.0,8.0,127.0,116.0
BTTL,-7.91,17.34,27.67,26.91
BUILDPRO,132.0,128.0,7147.0,6826.0
BURNPUR,-82.0,1.0,0.0,151.0
BUTTERFLY,48.0,52.0,970.0,1057.0
BVCL,2.0,7.0,216.0,234.0
BYKE,7.0,36.0,109.0,270.0
CALSOFT,15.0,11.0,25.0,20.0
CAMLINFINE,1.0,65.0,1845.0,1723.0
CAMPUS,154.0,150.0,1816.0,1774.0
CAMS,491.0,472.0,1557.0,1516.0
CANBK,19828.0,19712.0,127805.0,126371.0
CANFINHOME,1130.0,1086.0,4292.0,4217.0
CANHLIFE,131.0,127.0,12275.0,11841.0
CANTABIL,97.0,96.0,873.0,853.0
CAPACITE,186.0,204.0,2662.0,2623.0
CAPILLARY,42.0,52.0,811.0,735.0
CAPITALSFB,151.0,141.0,1090.0,1049.0
CAPLIPOINT,678.0,650.0,2287.0,2187.0
CAPTRUST,7.0,38.0,103.0,192.0
CARBORUNIV,188.0,476.0,5414.0,5206.0
CARERATING,180.0,174.0,491.0,473.0
CARRARO,133.0,131.0,2307.0,2255.0
CARTRADE,253.0,244.0,807.0,779.0
CARYSIL,108.0,99.0,959.0,924.0
CASTROLIND,1062.0,950.0,6219.0,5722.0
CCAVENUE,321.0,295.0,9516.0,8116.0
CCCL,-4.0,673.0,364.0,670.0
CCHHL,-18.0,27.0,70.0,521.0
CCL,433.0,388.0,4602.0,4457.0
CDSL,470.0,526.0,1179.0,1145.0
CEATLTD,589.0,697.0,16467.0,15678.0
CEIGALL,321.0,309.0,4154.0,4022.0
CEINSYS,133.0,133.0,662.0,661.0
CELEBRITY,-11.0,21.0,158.0,364.0
CELLO,324.0,365.0,2321.0,2324.0
CEMPRO,602.0,598.0,10205.0,10061.0
CENTENKA,147.0,101.0,1858.0,2072.0
CENTEXT,12.0,11.0,513.0,479.0
CENTRALBK,4571.0,4531.0,37270.0,36168.0
CENTRUM,-323.0,142.0,3643.0,9895.0
CENTUM,49.0,60.0,1059.0,1091.0
CENTURYPLY,299.0,384.0,5789.0,5397.0
CERA,248.0,249.0,1948.0,1926.0
CEREBRAINT,-64.0,35.0,4.0,385.0
CESC,1630.0,1618.0,18853.0,18570.0
CEWATER,-7.0,51.0,541.0,594.0
CGCL,1128.0,949.0,5306.0,4731.0
