Symbol,Company,Sector,Industry,Market_Cap,Net_Profit_Cr,ROCE_Pct,ROE_Pct,Debt_to_Equity,Latest_Q_Profit_Cr,Public_Holding_Pct,Is_Bank_Finance,Is_PSU,Is_Highest_Quarter,Passes_Criteria
ALGOQUANT,Algoquant Fintech Limited,Financial Services,Capital Markets,0,31.89,1.38,20.72,0.2375,6.29,0.0,True,False,False,False
ALICON,Alicon Castalloy Limited,Industrials,Metal Fabrication,13236108288,46.06,4.24,5.54,0.57,13.89,28.43,False,False,False,False
ALIVUS,Alivus Life Sciences Limited,Healthcare,Drug Manufacturers - Specialty & Generic,110835785728,485.63,12.56,19.1,0.02,121.54,25.09,False,False,False,False
ALKALI,Alkali Metals Limited,Basic Materials,Specialty Chemicals,803453632,5.8,-0.39,-6.09,0.0,0.91,28.18,False,False,False,False
ALKEM,Alkem Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic,692640022528,2165.48,8.11,18.74,0.1706,765.06,32.75,False,False,False,False
ALKYLAMINE,Alkyl Amines Chemicals Limited,Basic Materials,Specialty Chemicals,82214060032,186.11,0.0,0.0,0.0039,49.44,27.16,False,False,False,False
ALLCARGO,Allcargo Logistics Limited,Industrials,Integrated Freight & Logistics,10872990720,35.6,1.12,1.91,0.0,4.0,45.31,False,False,False,False
ALLDIGI,Alldigi Tech Limited,Industrials,Specialty Business Services,12458855424,83.3,13.88,27.87,0.3304,14.89,23.76,False,False,False,False
ALLTIME,ALLTIME,Consumer Defensive,Household & Personal Products,16373668864,47.29,0.0,0.0,0.2235,4.09,25.39,False,False,False,False
ALMONDZ,Almondz Global Securities Limited,Financial Services,Capital Markets,3118703360,17.32,5.55,7.74,0.1884,3.64,26.93,True,False,False,False
ALOKINDS,Alok Industries Limited,Consumer Cyclical,Textile Manufacturing,79986524160,816.43,-2.89,0.0,0.0,171.56,24.71,False,False,False,False
ALPA,Alpa Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic,1591326976,19.5,-0.94,10.7,0.0,0.11,45.67,False,False,False,False
ALPHAGEO,Alphageo (India) Limited,Energy,Oil & Gas Equipment & Services,1425962368,6.11,-5.4,-6.1,0.0,5.72,44.22,False,False,False,False
AMANTA,AMANTA,Healthcare,Drug Manufacturers - Specialty & Generic,4272005120,10.5,0.0,0.0,0.8822,1.21,11.3,False,False,False,False
AMBER,Amber Enterprises India Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances",229567905792,243.56,4.5,7.78,0.7427,103.87,57.39,False,False,False,False
AMBICAAGAR,Ambica Agarbathies Aroma & Industries Limited,Consumer Defensive,Household & Personal Products,433587200,0.49,1.79,0.47,0.7472,0.93,42.43,False,False,False,False
AMBIKCO,Ambika Cotton Mills Limited,Consumer Cyclical,Textile Manufacturing,7024513536,65.74,4.69,6.78,0.0,15.94,48.14,False,False,False,False
