ticker,year,sales,book_value,eps,sales_growth_pct,roce_pct,pb_ratio,book_value_growth_pct,eps_growth_pct,promoter_holding_pct,ps_ratio,pcf_ratio,promoter_pledging_pct,quality_turnover_pct,interest_coverage_ratio,sector,market_cap
TCS,2012,,89.86,,,,7.0,44.12189254210104,,,4.4,,,,,Technology,8866846736384
TCS,2013,,112.64,,,,9.6,25.350545292677506,,,5.9,,,,,Technology,8866846736384
TCS,2014,,123.71,,,,10.1,9.827769886363624,,,5.5,,,,,Technology,8866846736384
TCS,2015,94648.0,153.03,50.68,,50.0,7.9,23.70059008972598,,,4.7,22.966885228974135,,3.9303524638661145,235.40384615384616,Technology,8866846736384
TCS,2016,108646.0,193.83,61.58,14.78953596483814,51.0,6.1,26.66143893354245,21.507498026835048,,4.1,23.31093202156052,,2.838576661819119,929.6060606060606,Technology,8866846736384
TCS,2017,117966.0,196.04,66.71,8.578318575925481,44.0,6.9,1.140174379610981,8.330626826891852,73.31,4.3,20.110763985251555,,3.5781496363358936,1009.71875,Technology,8866846736384
TCS,2018,123104.0,202.93,67.46,4.355492260481841,39.0,9.3,3.5145888594164454,1.124269225003749,71.92,5.3,26.02829217696573,,2.9584741356901483,625.3076923076923,Technology,8866846736384
TCS,2019,146463.0,253.26,83.87,18.975012997140638,47.0,8.7,24.801655743359774,24.325526237770557,72.05,5.4,27.66062322946176,,2.9434055017308123,199.5252525252525,Technology,8866846736384
TCS,2020,156949.0,253.54,86.19,7.1594873790650215,47.0,11.5,0.11055831951354289,2.766185763681883,72.05,6.9,33.45633476474405,,2.9257911805745813,45.57251082251082,Technology,8866846736384
TCS,2021,164177.0,262.11,87.67,4.605317650956686,49.0,14.3,3.380137256448701,1.7171365587655307,72.19,7.8,33.00295345600742,,1.1670331410611716,73.07064364207221,Technology,8866846736384
TCS,2022,191754.0,266.34,104.75,16.79711530847805,54.0,12.2,1.6138262561519845,19.482148967719848,72.3,5.7,27.359828781696663,,2.0953930556859306,67.67474489795919,Technology,8866846736384
TCS,2023,225458.0,275.16,115.19,17.576686796624852,59.0,13.8,3.311556656904724,9.966587112171844,72.3,5.8,31.160643393303943,,1.5297749469967798,76.07060333761233,Technology,8866846736384
TCS,2024,240893.0,280.52,126.88,6.846064455463985,64.0,14.8,1.9479575519697478,10.148450386318263,71.77,6.1,33.141939194370515,,1.437982838853765,82.6426735218509,Technology,8866846736384
TCS,2025,255324.0,294.12,134.2,5.990626543735189,65.0,11.2,4.848139170112664,5.769230769230771,71.77,4.6,24.01427987241351,0.0,1.551753850010183,84.6821608040201,Technology,8866846736384
TCS,2026,267021.0,296.4,136.01,4.581237956478823,63.0,8.5,0.7751937984496138,1.348733233979127,71.77,3.4,17.427561715360696,0.0,-0.04643829511536546,59.0040749796251,Technology,8866846736384
