Symbol,TTM_Net_Profit,Max_Annual_Net_Profit,TTM_Net_Sales,Max_Annual_Net_Sales
CMLL,,157.0,,1677.0
CMPDI,,667.0,,2317.0
CMRGREEN,,262.0,,5071.0
CMSINFO,318.0,354.0,2277.0,2272.0
CNL,38.0,34.0,2650.0,2556.0
COALINDIA,18901.0,18864.0,1549.0,1951.0
COASTCORP,14.0,43.0,646.0,686.0
COCHINSHIP,591.0,843.0,4240.0,4528.0
COCKERILL,12.0,35.0,548.0,667.0
COFFEEDAY,168.0,1368.0,20.0,144.0
COFORGE,1208.0,1393.0,10205.0,9572.0
COHANCE,178.0,558.0,1907.0,2030.0
COLPAL,1348.0,1437.0,6204.0,6040.0
COMFINTE,2.0,8.0,149.0,156.0
COMPINFO,,30.76,,4514.83
COMPUSOFT,3.29,12.87,28.73,64.59
COMSYN,32.0,27.0,403.0,384.0
CONCOR,1242.0,1272.0,9064.0,9059.0
CONCORDBIO,282.0,373.0,1112.0,1200.0
CONFIPET,128.0,93.0,5815.0,4530.0
CONSOFINVT,54.0,313.0,61.0,417.0
CONTROLPR,71.0,120.0,450.0,446.0
CORALFINAC,14.0,21.0,15.0,31.0
CORDELIA,,186.0,,583.0
CORDSCABLE,25.0,21.0,975.0,954.0
COROMANDEL,1877.0,2035.0,31273.0,30531.0
CORONA,199.0,185.0,1479.0,1403.0
COSMOFIRST,106.0,313.0,3663.0,3356.0
COUNCODOS,0.62,2.53,18.04,45.27
CPCAP,35.0,43.0,64.0,73.0
CPEDU,23.0,22.0,50.0,50.0
CPL,28.0,30.0,429.0,417.0
CPPLUS,450.0,341.0,4847.0,4179.0
CRAFTSMAN,276.0,238.0,5258.0,4818.0
CRAMC,218.0,204.0,478.0,454.0
CREATIVEYE,-4.57,0.53,0.72,28.93
CREDITACC,1211.0,1446.0,6380.0,6059.0
CREST,21.0,595.0,87.0,816.0
CRISIL,571.0,668.0,1959.0,1796.0
CRIZAC,179.0,188.0,282.0,344.0
CROMPTON,-228.0,605.0,7397.0,7193.0
CROWN,9.03,18.98,42.67,39.72
CSBBANK,665.0,633.0,4752.0,4505.0
CSLFINANCE,87.0,86.0,267.0,256.0
CSM,,20.0,,213.0
CTE,-0.64,5.58,55.16,76.32
CUB,1403.0,1326.0,7249.0,6870.0
CUBEXTUB,8.0,7.0,303.0,288.0
CUMMINSIND,2284.0,2330.0,12662.0,12143.0
CUPID,137.0,108.0,484.0,391.0
CURAA,-1.75,0.0,0.74,6.33
CYBERMEDIA,0.69,3.1,13.47,15.24
CYBERTECH,24.0,25.0,165.0,161.0
CYIENT,180.0,1125.0,2494.0,2461.0
CYIENTDLM,62.0,77.0,1019.0,1345.0
DABUR,1536.0,1509.0,9601.0,9383.0
DAICHI,3.0,50.0,180.0,184.0
DALBHARAT,130.0,195.0,394.0,361.0
DALMIASUG,207.0,366.0,3525.0,3725.0
DAMCAPITAL,72.0,104.0,236.0,250.0
DAMODARIND,6.0,18.0,480.0,909.0
DANGEE,-1.41,2.15,29.69,38.32
DATAMATICS,102.0,111.0,664.0,735.0
DATAPATTNS,268.0,271.0,941.0,925.0
DAVANGERE,8.0,13.0,249.0,280.0
DBCORP,352.0,424.0,2399.0,2463.0
DBEIL,28.0,60.0,538.0,579.0
DBL,758.0,842.0,6925.0,10537.0
DBOL,83.0,112.0,1993.0,2402.0
DBREALTY,72.0,802.0,529.0,529.0
DBSTOCKBRO,2.92,8.64,29.73,47.26
DCAL,-65.0,56.0,226.0,581.0
DCBBANK,788.0,732.0,7575.0,7404.0
DCI,22.0,21.0,756.0,737.0
