Symbol,Company Name,Sector,Industry,Market Cap,Net Profit (Cr),ROCE (%),ROE (%),Debt to Equity,Latest Quarter Profit (Cr),Last 3Q Profits (Cr),Public Holding (%),Is Bank/Finance,Is PSU,Passes Criteria,Screening Date
KPIL,Kalpataru Projects International Limited,Industrials,Engineering & Construction,196234723328,585.7,3.96,13.38,0.6969,213.62,"225.41, 141.96, 125.5",66.27,False,True,False,2026-01-16
SUNDRMFAST,Sundram Fasteners Limited,Consumer Cyclical,Auto Parts,196081287168,539.1,8.11,14.37,0.1819,148.35,"124.43, 130.36, 142.48",50.41,False,False,False,2026-01-16
WELCORP,Welspun Corp Limited,Basic Materials,Steel,194498297856,1908.14,7.2,29.62,0.1826,350.42,"698.31, 674.7, 286.95",48.74,False,False,False,2026-01-16
TATACHEM,Tata Chemicals Limited,Basic Materials,Chemicals,192353714176,235.0,1.39,1.64,0.3212,252.0,"56.0, 53.0, 194.0",61.31,False,False,False,2026-01-16
CHALET,Chalet Hotels Limited,Consumer Cyclical,Lodging,192088260608,142.56,8.67,18.57,0.7288,203.15,"123.85, 96.54, 138.49",32.56,False,False,False,2026-01-16
NETWEB,Netweb Technologies India Limited,Technology,Computer Hardware,189643145216,114.48,12.58,26.09,0.0311,30.48,"42.99, 30.32",28.97,False,False,False,2026-01-16
URBANCO,Urban Company Limited,Technology,Software - Application,188789604352,239.76,0.0,0.0,0.0602,6.94,"2.83, 12.62",31.56,False,False,False,2026-01-16
KANSAINER,Kansai Nerolac Paints Limited,Basic Materials,Specialty Chemicals,187155742720,1142.95,5.51,18.4,0.0428,220.91,"108.46, 680.87, 122.79",24.86,False,False,False,2026-01-16
CRAFTSMAN,Craftsman Automation Limited,Consumer Cyclical,Auto Parts,185310183424,194.57,5.3,8.26,1.0927,90.86,"69.6, 66.76, 12.93",49.09,False,False,False,2026-01-16
KFINTECH,KFin Technologies Limited,Technology,Software - Application,184707121152,332.62,16.71,25.82,0.0324,77.26,"85.05, 90.18, 89.32",65.04,False,False,False,2026-01-16
SAILIFE,SAILIFE,Healthcare,Diagnostics & Research,184235868160,170.13,8.58,17.28,0.184,60.46,"88.27, 53.85, 41.51",41.78,False,True,False,2026-01-16
CHOICEIN,Choice International Limited,Financial Services,Capital Markets,183374757888,162.71,7.29,16.6,0.3561,47.96,"53.52, 30.74, 46.45",22.78,True,True,False,2026-01-16
